file_name,transcription
ARA NORM 00001.wav,هل التطبيق الصيني المعروف باسم
ARA NORM 00002.wav,التيك توك
ARA NORM 00003.wav,هو أخطر تطبيق في العالم
ARA NORM 00004.wav,السؤال دا مهم جداً ولازم كلنا نفكر فيه
ARA NORM 00005.wav,هو في الحقيقه شاغل بال ناس كتير
ARA NORM 00006.wav,وبالأخص صناع القرار في الولايات المتحدة
ARA NORM 00007.wav,واللي بيعتبر التطبيق ده اخطر حاجه اخترعتها
ARA NORM 00008.wav,الصين على الإطلاق
ARA NORM 00009.wav,البنتاغون طلبت من افراد الجيش الامريكي
ARA NORM 00010.wav,إنهم يحذفوا بسرعة تطبيق تيك توك
ARA NORM 00011.wav,من على هواتفهم الشخصيه
ARA NORM 00012.wav,شركة أمازون طلبت من الموظفين بتوعها
ARA NORM 00013.wav,انهم يحذفوا التيك توك من على تليفوناتهم
ARA NORM 00014.wav,وده نفس اللي عمله البنك الامريكي الشهير
ARA NORM 00015.wav,ورز فارجو
ARA NORM 00016.wav,اللي طلب من الموظفين بتوعه انهم يحذفوا
ARA NORM 00017.wav,تي توك
ARA NORM 00018.wav,وعلى المستوى السياسي التطبيق ده عمل
ARA NORM 00019.wav,الحاله من الرعب في واشنطن واتسب
ARA NORM 00020.wav,كنائات ونوشات كتير بين الساسه وصناعه
ARA NORM 00021.wav,القرار في واشنطن
ARA NORM 00022.wav,باختصار بعضهم شايف إن الحل هو إجبار
ARA NORM 00023.wav,الصين على بيع التطبيق ده لامريكا
ARA NORM 00024.wav,في حين ان ناس تانيه منهم شايفه ان الصين
ARA NORM 00025.wav,والحل الصح هو حظر التيك توك
ARA NORM 00026.wav,تماما وتفكيكه ومهاجمته بطريقة أشرف
ARA NORM 00027.wav,من الطريقة اللي تم بها مهاجمة
ARA NORM 00028.wav,او الصينية
ARA NORM 00029.wav,وده هيخلينا نسال سؤال منطقي جدا
ARA NORM 00030.wav,ليه كل ده
ARA NORM 00031.wav,التيك توك اللي معظم محتواها أغاني ورقص
ARA NORM 00032.wav,عامل القلق ده كله ازاي
ARA NORM 00033.wav,للامريكان خايفين للدرجه دي من التطبيق اللي ناس
ARA NORM 00034.wav,ناس كتير شايفاه يا فهم
ARA NORM 00035.wav,وهنا خليني اقول لك ان في الحقيقه مش
ARA NORM 00036.wav,الامريكان لوحدهم هما اللي قلقانين
ARA NORM 00037.wav,من ال ⁇
ARA NORM 00038.wav,دول اوروبيه كتير قلقانة من التطبيق ده
ARA NORM 00039.wav,وفي اسيا الهند اللي كانت اكبر مستخدم
ARA NORM 00040.wav,للتطبيق في العالم حظرته
ARA NORM 00041.wav,وفي أستراليا في دعوات بتطالب
ARA NORM 00042.wav,الحكومة إنها تقفله
ARA NORM 00043.wav,والشيء المشترك بين الدول دي كلها هي
ARA NORM 00044.wav,لانها قلقانه على خصوصيه البيانات بتاعتنا
ARA NORM 00045.wav,مواطنيها اللي بيستخدموا التطبيق ده
ARA NORM 00046.wav,واللي فيه شكوك كبيره ان الشركه الصينيه
ARA NORM 00047.wav,اللي بتمتلك التطبيق بتسمح للحكومه
ARA NORM 00048.wav,والاستخبارات الساميه من الاطلاع عليها
ARA NORM 00049.wav,بوضوح كده من الاخر التيك توك
ARA NORM 00050.wav,متهم بانه اداه تجسس تابعه للحزب
ARA NORM 00051.wav,شيوع صيني
ARA NORM 00052.wav,هل الكلام ده صحيح
ARA NORM 00053.wav,يعني هل في دلائل على إن الصين وتحديدا
ARA NORM 00054.wav,بتقدر توصل لبيانات اي
ARA NORM 00055.wav,مستخدم للتطبيق
ARA NORM 00056.wav,وايه هي خطه امريكا لتحييد خطر تيك توك
ARA NORM 00057.wav,ولله الحكومة الصينية رفضت إنها
ARA NORM 00058.wav,بيع التطبيق للامريكيين وفضلت ان
ARA NORM 00059.wav,ودمر وينتهي تماما ولا انها تبيعه لامريكا
ARA NORM 00060.wav,ومين هي اكتر الدول العربيه اللي بتسرق
ARA NORM 00061.wav,تستخدم تيك توك
ARA NORM 00062.wav,و السؤال الاهم بقى
ARA NORM 00063.wav,التطبيق ده ليه ناس كتير بتعتبره تطبيق
ARA NORM 00064.wav,مريب ومثير للشكوك
ARA NORM 00065.wav,وايه هي قصه الخوارزميه اللي قايم عليها
ARA NORM 00066.wav,وبتتحكم في المحتوى اللي الشباب والمراهقين
ARA NORM 00067.wav,بيشوفوه عليه
ARA NORM 00068.wav,ده جزء من حندس فيه مع بعض
ARA NORM 00069.wav,في حلقة النهارده
ARA NORM 00070.wav,انا اشرف ابراهيم المخب الاقتصادي
ARA NORM 00071.wav,في البيت الابيض وتحديدا في مكتب الرئيس
ARA NORM 00072.wav,أمريكا وقتها دونالد ترامب
ARA NORM 00073.wav,بين اتنين من كبار المستشارين بتوعه
ARA NORM 00074.wav,بيتر نافارو مستشار التجاري للبيت الأبيض
ARA NORM 00075.wav,بوستيفن منوشن وزير الخزانه الامريكي
ARA NORM 00076.wav,وسبب الخناقه بين الاثنين دول اللي قعدوا
ARA NORM 00077.wav,ويصرخوا ويعلوا صوتهم على بعض قدام
ARA NORM 00078.wav,الرئيس ترامب هو اختلافهم على الطريقه
ARA NORM 00079.wav,اللي لازم امريكا تتعامل بيها مع تطبيق
ARA NORM 00080.wav,تك توكس صين
ARA NORM 00081.wav,المهم اللي حصل بالظبط
ARA NORM 00082.wav,هو ان منوشن وزير الخزانه
ARA NORM 00083.wav,للناس اللي قاعدة في المكتب البيضاوي
ARA NORM 00084.wav,يا جماعة أنا رأيي إننا لازم
ARA NORM 00085.wav,عشان نجبر شركه باي تانس
ARA NORM 00086.wav,الصينيه اللي بتمتلك تطبيق تيك توك
ARA NORM 00087.wav,إنها تبيع التطبيق ده لشركة أمريكية
ARA NORM 00088.wav,وانا اتكلمت اكتر من مره مع شركه
ARA NORM 00089.wav,مايكروسوفت عشان يشتروا التطبيق
ARA NORM 00090.wav,المستشار التجاري للبيت الابيض
ARA NORM 00091.wav,كان قاعد ومش عاجبه الكلام
ARA NORM 00092.wav,وقام متنرفز على وزير الخزانة وعلى صوته
ARA NORM 00093.wav,واتهموا بان اقتراحه ده يعتبر تساهل
ARA NORM 00094.wav,مع الصين
ARA NORM 00095.wav,سؤال احنا لازم نفرض حظر تام
ARA NORM 00096.wav,على التيك توك
ARA NORM 00097.wav,المهم في نفس الأسبوع اللي حصل فيه
ARA NORM 00098.wav,الخناقة دي وتحديدا في مساء الخميس
ARA NORM 00099.wav,ترامب كان على متن الطيارة الرئاسية
ARA NORM 00100.wav,هو في الطياره وقع على امر تنفيذ مصر
ARA NORM 00101.wav,مفاده إن السلطات الأمريكية هتحصر تماما
ARA NORM 00102.wav,تيك توك في الولايات المتحدة
ARA NORM 00103.wav,لو الشركه الصينيه الام اللي بتمتلكه اللي هي برض
ARA NORM 00104.wav,ما وافقتش انها تبيعه في خلال
ARA NORM 00105.wav,يعني باختصار كدا ترامب قال للصينيين
ARA NORM 00106.wav,يا اما تبقوا لنا في التطبيق ده
ARA NORM 00107.wav,يا إما حنقفلهولكم وحيتحزف من على متاجر
ARA NORM 00108.wav,قابلوا جوجل
ARA NORM 00109.wav,بحسب واشنطن بوست المسؤولين في
ARA NORM 00110.wav,الصينيه استسلموا
ARA NORM 00111.wav,لغوط ترامب وبداوا يفكروا بشكل جدي
ARA NORM 00112.wav,في بيع التطبيق لشركات امريكيه زي
ARA NORM 00113.wav,مايكروسوفت وول مارت اوراكل
ARA NORM 00114.wav,علشان يضمنوا إن التطبيق يستمر ومايموتش
ARA NORM 00115.wav,خصوصا وانه شركه تيك توك كان عليها
ARA NORM 00116.wav,هجوم كاسح في أمريكا بقى له تقريبا سنة
ARA NORM 00117.wav,بدايه الهجوم على تيكو
ARA NORM 00118.wav,لما اعضاء جمهوريين و ديمقراطيين
ARA NORM 00119.wav,في مجلس الشيوخ الامريكي
ARA NORM 00120.wav,بعتوا رساله
ARA NORM 00121.wav,لجزء اون وايرن القائم
ARA NORM 00122.wav,باعمال مدير المخابرات الوطنيه
ARA NORM 00123.wav,في الولايات المتحدة
ARA NORM 00124.wav,وطلبوا منه فيها انه يحقق
ARA NORM 00125.wav,في احتماليه
ARA NORM 00126.wav,
ARA NORM 00127.wav,بيشكل خط
ARA NORM 00128.wav,على الأمن القومي الأمريكي
ARA NORM 00129.wav,وفي نفس الشهر
ARA NORM 00130.wav,السنة الجمهوري
ARA NORM 00131.wav,مارك روبيو
ARA NORM 00132.wav,طلب من لجنه الاستثمار الاجنبي
ARA NORM 00133.wav,إنها تراجع استحوات
ARA NORM 00134.wav,بايدانس الصينيه على تطبيق نيوزك
ARA NORM 00135.wav,الامريكي
ARA NORM 00136.wav,للي ميعرفش منكم الصينيين اشتروا تطبيق
